GFS,Date
56.27000045776367,2022-11-07 00:00:00-05:00
61.119998931884766,2022-11-08 00:00:00-05:00
61.0,2022-11-09 00:00:00-05:00
62.70000076293945,2022-11-10 00:00:00-05:00
64.7699966430664,2022-11-11 00:00:00-05:00
65.02999877929688,2022-11-14 00:00:00-05:00
66.58000183105469,2022-11-15 00:00:00-05:00
64.23999786376953,2022-11-16 00:00:00-05:00
66.63999938964844,2022-11-17 00:00:00-05:00
67.44999694824219,2022-11-18 00:00:00-05:00
66.06999969482422,2022-11-21 00:00:00-05:00
67.31999969482422,2022-11-22 00:00:00-05:00
67.58000183105469,2022-11-23 00:00:00-05:00
67.61000061035156,2022-11-25 00:00:00-05:00
63.900001525878906,2022-11-28 00:00:00-05:00
62.869998931884766,2022-11-29 00:00:00-05:00
64.3499984741211,2022-11-30 00:00:00-05:00
63.65999984741211,2022-12-01 00:00:00-05:00
62.540000915527344,2022-12-02 00:00:00-05:00
62.13999938964844,2022-12-05 00:00:00-05:00
60.810001373291016,2022-12-06 00:00:00-05:00
60.900001525878906,2022-12-07 00:00:00-05:00
62.41999816894531,2022-12-08 00:00:00-05:00
63.41999816894531,2022-12-09 00:00:00-05:00
66.81999969482422,2022-12-12 00:00:00-05:00
65.4000015258789,2022-12-13 00:00:00-05:00
65.5,2022-12-14 00:00:00-05:00
61.86000061035156,2022-12-15 00:00:00-05:00
60.029998779296875,2022-12-16 00:00:00-05:00
58.06999969482422,2022-12-19 00:00:00-05:00
57.59000015258789,2022-12-20 00:00:00-05:00
57.5,2022-12-21 00:00:00-05:00
55.18000030517578,2022-12-22 00:00:00-05:00
54.7400016784668,2022-12-23 00:00:00-05:00
53.630001068115234,2022-12-27 00:00:00-05:00
52.290000915527344,2022-12-28 00:00:00-05:00
53.810001373291016,2022-12-29 00:00:00-05:00
53.88999938964844,2022-12-30 00:00:00-05:00
51.70000076293945,2023-01-03 00:00:00-05:00
52.90999984741211,2023-01-04 00:00:00-05:00
51.02000045776367,2023-01-05 00:00:00-05:00
52.75,2023-01-06 00:00:00-05:00
55.380001068115234,2023-01-09 00:00:00-05:00
55.40999984741211,2023-01-10 00:00:00-05:00
57.06999969482422,2023-01-11 00:00:00-05:00
58.290000915527344,2023-01-12 00:00:00-05:00
59.13999938964844,2023-01-13 00:00:00-05:00
59.040000915527344,2023-01-17 00:00:00-05:00
58.099998474121094,2023-01-18 00:00:00-05:00
55.54999923706055,2023-01-19 00:00:00-05:00
56.45000076293945,2023-01-20 00:00:00-05:00
58.65999984741211,2023-01-23 00:00:00-05:00
59.0099983215332,2023-01-24 00:00:00-05:00
58.70000076293945,2023-01-25 00:00:00-05:00
60.13999938964844,2023-01-26 00:00:00-05:00
59.2400016784668,2023-01-27 00:00:00-05:00
