JD,Date
31.35028076171875,2015-04-30 00:00:00-04:00
31.32225227355957,2015-05-01 00:00:00-04:00
32.0322151184082,2015-05-04 00:00:00-04:00
31.481060028076172,2015-05-05 00:00:00-04:00
30.341388702392578,2015-05-06 00:00:00-04:00
30.901887893676758,2015-05-07 00:00:00-04:00
31.518428802490234,2015-05-08 00:00:00-04:00
32.19102096557617,2015-05-11 00:00:00-04:00
30.612295150756836,2015-05-12 00:00:00-04:00
30.60295295715332,2015-05-13 00:00:00-04:00
31.182132720947266,2015-05-14 00:00:00-04:00
31.200817108154297,2015-05-15 00:00:00-04:00
31.677234649658203,2015-05-18 00:00:00-04:00
31.901432037353516,2015-05-19 00:00:00-04:00
31.50908660888672,2015-05-20 00:00:00-04:00
31.630525588989258,2015-05-21 00:00:00-04:00
32.59270477294922,2015-05-22 00:00:00-04:00
31.957477569580078,2015-05-26 00:00:00-04:00
31.99484634399414,2015-05-27 00:00:00-04:00
31.779991149902344,2015-05-28 00:00:00-04:00
31.462379455566406,2015-05-29 00:00:00-04:00
32.47126388549805,2015-06-01 00:00:00-04:00
32.50863265991211,2015-06-02 00:00:00-04:00
32.48060989379883,2015-06-03 00:00:00-04:00
31.8734073638916,2015-06-04 00:00:00-04:00
33.32135009765625,2015-06-05 00:00:00-04:00
33.84447479248047,2015-06-08 00:00:00-04:00
34.031307220458984,2015-06-09 00:00:00-04:00
33.87249755859375,2015-06-10 00:00:00-04:00
34.44233322143555,2015-06-11 00:00:00-04:00
35.45122528076172,2015-06-12 00:00:00-04:00
34.2181396484375,2015-06-15 00:00:00-04:00
34.09669876098633,2015-06-16 00:00:00-04:00
33.11583709716797,2015-06-17 00:00:00-04:00
33.22793197631836,2015-06-18 00:00:00-04:00
32.331146240234375,2015-06-19 00:00:00-04:00
32.31245803833008,2015-06-22 00:00:00-04:00
32.31245803833008,2015-06-23 00:00:00-04:00
32.48994827270508,2015-06-24 00:00:00-04:00
31.779991149902344,2015-06-25 00:00:00-04:00
31.252193450927734,2015-06-26 00:00:00-04:00
30.36007308959961,2015-06-29 00:00:00-04:00
31.854724884033203,2015-06-30 00:00:00-04:00
31.060691833496094,2015-07-01 00:00:00-04:00
30.948591232299805,2015-07-02 00:00:00-04:00
29.790237426757812,2015-07-06 00:00:00-04:00
28.594518661499023,2015-07-07 00:00:00-04:00
28.3236141204834,2015-07-08 00:00:00-04:00
30.62163734436035,2015-07-09 00:00:00-04:00
30.266660690307617,2015-07-10 00:00:00-04:00
31.66789436340332,2015-07-13 00:00:00-04:00
31.686573028564453,2015-07-14 00:00:00-04:00
30.257314682006836,2015-07-15 00:00:00-04:00
31.611841201782227,2015-07-16 00:00:00-04:00
32.9943962097168,2015-07-17 00:00:00-04:00
32.75151443481445,2015-07-20 00:00:00-04:00
32.98505401611328,2015-07-21 00:00:00-04:00
33.05044174194336,2015-07-22 00:00:00-04:00
32.415218353271484,2015-07-23 00:00:00-04:00
32.35916519165039,2015-07-24 00:00:00-04:00
30.03312110900879,2015-07-27 00:00:00-04:00
30.341388702392578,2015-07-28 00:00:00-04:00
31.09805679321289,2015-07-29 00:00:00-04:00
31.172788619995117,2015-07-30 00:00:00-04:00
30.85517692565918,2015-07-31 00:00:00-04:00
30.752418518066406,2015-08-03 00:00:00-04:00
31.75196647644043,2015-08-04 00:00:00-04:00
32.06024169921875,2015-08-05 00:00:00-04:00
30.6496639251709,2015-08-06 00:00:00-04:00
29.958385467529297,2015-08-07 00:00:00-04:00
28.080734252929688,2015-08-10 00:00:00-04:00
26.1750545501709,2015-08-11 00:00:00-04:00
25.007360458374023,2015-08-12 00:00:00-04:00
25.268922805786133,2015-08-13 00:00:00-04:00
26.268470764160156,2015-08-14 00:00:00-04:00
25.530485153198242,2015-08-17 00:00:00-04:00
24.867237091064453,2015-08-18 00:00:00-04:00
25.01670265197754,2015-08-19 00:00:00-04:00
