MU,Date
1.3483911752700806,1985-04-22 00:00:00-05:00
1.3845089673995972,1985-04-23 00:00:00-05:00
1.3363521099090576,1985-04-24 00:00:00-05:00
1.2520779371261597,1985-04-25 00:00:00-05:00
1.083528995513916,1985-04-26 00:00:00-05:00
1.059450626373291,1985-04-29 00:00:00-04:00
1.035372018814087,1985-04-30 00:00:00-04:00
0.999254584312439,1985-05-01 00:00:00-04:00
0.999254584312439,1985-05-02 00:00:00-04:00
0.9872152209281921,1985-05-03 00:00:00-04:00
0.8788622617721558,1985-05-06 00:00:00-04:00
0.8427445888519287,1985-05-07 00:00:00-04:00
0.8186662793159485,1985-05-08 00:00:00-04:00
0.8427445888519287,1985-05-09 00:00:00-04:00
0.939058244228363,1985-05-10 00:00:00-04:00
0.8909014463424683,1985-05-13 00:00:00-04:00
0.8186662793159485,1985-05-14 00:00:00-04:00
0.8186662793159485,1985-05-15 00:00:00-04:00
0.8186662793159485,1985-05-16 00:00:00-04:00
0.914979875087738,1985-05-17 00:00:00-04:00
0.9029407501220703,1985-05-20 00:00:00-04:00
0.8668229579925537,1985-05-21 00:00:00-04:00
0.8668229579925537,1985-05-22 00:00:00-04:00
0.8788622617721558,1985-05-23 00:00:00-04:00
0.8909014463424683,1985-05-24 00:00:00-04:00
0.8547838926315308,1985-05-28 00:00:00-04:00
0.8307054042816162,1985-05-29 00:00:00-04:00
0.7945878505706787,1985-05-30 00:00:00-04:00
0.7945878505706787,1985-05-31 00:00:00-04:00
0.7464308142662048,1985-06-03 00:00:00-04:00
0.7464308142662048,1985-06-04 00:00:00-04:00
0.6741955876350403,1985-06-05 00:00:00-04:00
0.7223525047302246,1985-06-06 00:00:00-04:00
0.577881932258606,1985-06-07 00:00:00-04:00
0.6260389685630798,1985-06-10 00:00:00-04:00
0.6139997243881226,1985-06-11 00:00:00-04:00
0.5899212956428528,1985-06-12 00:00:00-04:00
0.5899212956428528,1985-06-13 00:00:00-04:00
0.6380780935287476,1985-06-14 00:00:00-04:00
0.6139997243881226,1985-06-17 00:00:00-04:00
0.6260389685630798,1985-06-18 00:00:00-04:00
0.6380780935287476,1985-06-19 00:00:00-04:00
0.7223525047302246,1985-06-20 00:00:00-04:00
0.7945878505706787,1985-06-21 00:00:00-04:00
0.7705093622207642,1985-06-24 00:00:00-04:00
0.8066270351409912,1985-06-25 00:00:00-04:00
0.7584701776504517,1985-06-26 00:00:00-04:00
0.7825485467910767,1985-06-27 00:00:00-04:00
0.8547838926315308,1985-06-28 00:00:00-04:00
0.914979875087738,1985-07-01 00:00:00-04:00
0.8547838926315308,1985-07-02 00:00:00-04:00
0.8427445888519287,1985-07-03 00:00:00-04:00
0.8307054042816162,1985-07-05 00:00:00-04:00
0.8668229579925537,1985-07-08 00:00:00-04:00
0.8427445888519287,1985-07-09 00:00:00-04:00
0.8788622617721558,1985-07-10 00:00:00-04:00
0.914979875087738,1985-07-11 00:00:00-04:00
0.9270190000534058,1985-07-12 00:00:00-04:00
0.9029407501220703,1985-07-15 00:00:00-04:00
0.9631367325782776,1985-07-16 00:00:00-04:00
0.9631367325782776,1985-07-17 00:00:00-04:00
0.9270190000534058,1985-07-18 00:00:00-04:00
0.914979875087738,1985-07-19 00:00:00-04:00
0.8788622617721558,1985-07-22 00:00:00-04:00
0.9029407501220703,1985-07-23 00:00:00-04:00
0.8668229579925537,1985-07-24 00:00:00-04:00
0.8788622617721558,1985-07-25 00:00:00-04:00
0.8668229579925537,1985-07-26 00:00:00-04:00
0.8186662793159485,1985-07-29 00:00:00-04:00
0.7825485467910767,1985-07-30 00:00:00-04:00
