QQQE,Date
25.643096923828125,2014-06-16
25.710464477539062,2014-06-17
25.863155364990234,2014-06-18
25.80028533935547,2014-06-19
25.8407039642334,2014-06-20
25.81824493408203,2014-06-23
25.834930419921875,2014-06-24
25.952163696289062,2014-06-25
25.911582946777344,2014-06-26
26.02429962158203,2014-06-27
26.114463806152344,2014-06-30
26.434589385986328,2014-07-01
26.41204833984375,2014-07-02
26.641990661621094,2014-07-03
26.416553497314453,2014-07-07
26.150545120239258,2014-07-08
26.299333572387695,2014-07-09
26.213655471801758,2014-07-10
26.27227020263672,2014-07-11
26.398523330688477,2014-07-14
26.29031753540039,2014-07-15
26.339900970458984,2014-07-16
25.99273681640625,2014-07-17
26.339900970458984,2014-07-18
26.20464324951172,2014-07-21
26.40753746032715,2014-07-22
26.41204833984375,2014-07-23
26.45713233947754,2014-07-24
26.339900970458984,2014-07-25
26.394006729125977,2014-07-28
26.40753746032715,2014-07-29
26.44811248779297,2014-07-30
26.00174903869629,2014-07-31
25.884521484375,2014-08-01
26.082910537719727,2014-08-04
25.871002197265625,2014-08-05
25.902565002441406,2014-08-06
25.717702865600586,2014-08-07
25.99273681640625,2014-08-08
26.127992630004883,2014-08-11
26.069379806518555,2014-08-12
26.29482078552246,2014-08-13
26.45713233947754,2014-08-14
26.61493682861328,2014-08-15
26.77273941040039,2014-08-18
26.876440048217773,2014-08-19
26.957595825195312,2014-08-20
26.9305477142334,2014-08-21
27.020721435546875,2014-08-22
27.09286117553711,2014-08-25
27.14695930480957,2014-08-26
27.155981063842773,2014-08-27
27.12442398071289,2014-08-28
27.19655990600586,2014-08-29
27.27320671081543,2014-09-02
27.30476951599121,2014-09-03
27.29123878479004,2014-09-04
27.41748809814453,2014-09-05
27.426511764526367,2014-09-08
27.16950798034668,2014-09-09
27.295753479003906,2014-09-10
27.2867374420166,2014-09-11
27.137941360473633,2014-09-12
26.88996124267578,2014-09-15
27.11991310119629,2014-09-16
27.232629776000977,2014-09-17
27.376903533935547,2014-09-18
27.295753479003906,2014-09-19
26.989158630371094,2014-09-22
26.829771041870117,2014-09-23
27.159385681152344,2014-09-24
26.716894149780273,2014-09-25
26.942655563354492,2014-09-26
26.879440307617188,2014-09-29
26.865888595581055,2014-09-30
26.400821685791016,2014-10-01
26.409849166870117,2014-10-02
26.78462028503418,2014-10-03
26.671737670898438,2014-10-06
26.301483154296875,2014-10-07
26.730430603027344,2014-10-08
26.184091567993164,2014-10-09
25.520339965820312,2014-10-10
25.10494041442871,2014-10-13
25.15008544921875,2014-10-14
25.095911026000977,2014-10-15
25.068811416625977,2014-10-16
25.357786178588867,2014-10-17
25.687408447265625,2014-10-20
26.38727569580078,2014-10-21
26.13442039489746,2014-10-22
26.558853149414062,2014-10-23
26.820741653442383,2014-10-24
26.81622886657715,2014-10-27
27.218088150024414,2014-10-28
27.114233016967773,2014-10-29
27.209049224853516,2014-10-30
27.705734252929688,2014-10-31
27.750886917114258,2014-11-03
27.66509437561035,2014-11-04
27.759923934936523,2014-11-05
27.926982879638672,2014-11-06
27.87731170654297,2014-11-07
27.981168746948242,2014-11-10
28.012773513793945,2014-11-11
28.035348892211914,2014-11-12
28.103086471557617,2014-11-13
28.152738571166992,2014-11-14
28.12565040588379,2014-11-17
28.374000549316406,2014-11-18
28.256601333618164,2014-11-19
28.324331283569336,2014-11-20
28.509456634521484,2014-11-21
28.7171573638916,2014-11-24
28.766820907592773,2014-11-25
